PassengerId,Pclass,Name,Sex,SibSp,Parch,Ticket,Embarked,Age_na,Fare_na,Age,Fare,Survived
1,3,135,2,1,0,629,3,False,False,-0.5748961186408397,-0.5021549737532789,0
2,1,245,1,1,0,713,1,False,False,0.659704782839092,0.747956790713472,1
3,3,442,1,0,0,799,3,False,False,-0.26624589327085674,-0.4889770578717757,1
4,1,354,1,1,0,56,3,False,False,0.42821711381160477,0.3929671642717883,1
5,3,19,2,0,0,565,3,False,False,0.42821711381160477,-0.48653670307890473,0
6,3,688,2,0,0,327,2,True,False,-0.11192078058586531,-0.47856552818347103,0
7,1,641,2,0,0,98,3,False,False,1.8943056843190236,0.36880765182236575,0
8,3,769,2,3,1,475,3,False,False,-2.1181472454907544,-0.232251733661751,0
9,3,511,1,0,2,416,3,False,False,-0.18908333692836105,-0.42634193561603256,1
10,2,714,1,1,0,158,1,False,False,-1.1921965693808054,-0.056628184496082555,1
11,3,895,1,1,1,734,3,False,False,-1.9638221328057628,-0.31766415141223453,1
12,1,115,1,0,0,44,3,False,False,2.2029559096890066,-0.12536419373400304,1
13,3,898,2,0,0,641,3,False,False,-0.7292212313258312,-0.48653670307890473,0
14,3,32,2,1,5,401,3,False,False,0.7368673391815876,-0.0331187825634809,0
15,3,1036,1,0,0,496,3,False,False,-1.1921965693808054,-0.4903592748264578,0
16,2,449,1,0,0,184,3,False,False,1.9714682406615194,-0.33133013825231183,1
17,3,838,2,4,1,574,2,False,False,-2.1181472454907544,-0.07509288500086134,0
18,2,1068,2,0,0,181,3,True,False,-0.11192078058586531,-0.3898986532812148,1
19,3,1034,1,1,0,365,3,False,False,0.11956688844162187,-0.29228446156637655,0
20,3,636,1,0,0,219,1,True,False,-0.11192078058586531,-0.5026430447118531,1
21,2,355,2,0,0,166,3,False,False,0.42821711381160477,-0.13610175482263526,0
22,2,97,2,0,0,183,3,False,False,0.3510545574691091,-0.3898986532812148,1
23,3,652,1,0,0,332,2,False,False,-1.1150340130383098,-0.4869427781164385,1
24,1,939,2,0,0,48,3,False,False,-0.11192078058586531,0.049365209435557486,1
25,3,771,1,3,1,475,3,False,False,-1.6551719074357798,-0.232251733661751,0
26,3,52,1,1,5,397,3,False,False,0.659704782839092,-0.030922463249897024,1
